measure_standard_name,data_source,part,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Access to Primary Care Doctor Visits,HEDIS,C,DMC09,DMC09,DMC09,DMC09,DMC10,DMC10,DMC11,DMC10,DMC12,DMC12,C11,C13,C12,C13,C09
Adult BMI Assessment,HEDIS,C,,C07,C07,C07,C07,C07,C07,C08,C10,C10,C12,DMC05,,,
Annual Flu Vaccine,CAHPS,C,C03,C03,C03,C03,C03,C03,C03,C04,C06,C06,C06,C07,C06,C07,C07
Antidepressant Medication Management (6 months),HEDIS,C,DMC02,DMC02,DMC02,DMC02,DMC02,DMC02,DMC03,DMC03,DMC03,DMC03,DMC03,DMC03,DMC04,C28,C23
Appropriate Monitoring of Patients Taking Long-term Medications,HEDIS,C,,,,,DMC04,DMC04,DMC05,DMC05,DMC05,DMC05,DMC05,C06,C05,C06,C06
Asthma Medication Ratio,HEDIS,C,,,,,DMC18,DMC27,,,,,,,,,
Beneficiary Access and Performance Problems,Administrative Data,C,DME07,DME07,DME07,DME07,C30,C28,C28,DME08,C31,C31,C32,C33,C30,,
Breast Cancer Screening,HEDIS,C,C01,C01,C01,C01,C01,C01,C01,DMC22,C01,C01,C01,C01,C01,C01,C01
Call Answer Timeliness,HEDIS,C,,,,,,,DMC02,DMC02,DMC02,DMC02,DMC02,DMC02,DMC01,C20,C16
Call Center - Beneficiary Hold Time,Call Center Monitoring,C,DMC07,DMC07,DMC07,DMC07,DMC08,DMC08,DMC09,,DMC09,DMC09,DMC09,C34,C31,,
Call Center - Calls Disconnected When Customer Calls Health Plan,Call Center Monitoring,C,DMC10,DMC10,DMC10,DMC10,DMC11,DMC11,DMC12,,DMC15,DMC15,,,,,
Call Center - CSR Understandability,Call Center Monitoring,C,,,,,,,,,,,,,DMC02,,
Call Center - Foreign Language Interpreter and TTY Availability,Call Center Monitoring,C,C28,C32,C33,C34,C34,C32,C32,,C36,C36,C36,C36,C33,,
Call Center - Information Accuracy,Call Center Monitoring,C,,,,,,,,,DMC10,DMC10,DMC10,C35,C32,,
Cardiovascular Care - Cholesterol Screening,HEDIS,C,,,,,,,,C02,C03,C03,C03,C03,,C03,C03
Care Coordination,CAHPS,C,C22,C26,C27,C28,C27,C25,C25,C28,C29,C29,,,,,
Care for Older Adults - Functional Status Assessment,HEDIS,C,,C10,C10,C10,C10,C10,C10,C11,C12,C12,C14,,,,
Care for Older Adults - Medication Review,HEDIS,C,C06,C09,C09,C09,C09,C09,C09,C10,C11,C11,C13,,,,
Care for Older Adults - Pain Assessment,HEDIS,C,C07,C11,C11,C11,C11,C11,C11,C12,C13,C13,C15,,,,
Cholesterol Screening,HEDIS,C,,,,,,,,,,,,,C03,,
Colorectal Cancer Screening,HEDIS,C,C02,C02,C02,C02,C02,C02,C02,C01,C02,C02,C02,C02,C02,C02,C02
