star_year,measure_id,weight_category,part_weight,overall_weight
2024,C01,Process Measure,1,1
2024,C02,Process Measure,1,1
2024,C03,Process Measure,1,1
2024,C04,Process Measure,1,1
2024,C05,Process Measure,1,1
2024,C06,Process Measure,1,1
2024,C07,Process Measure,1,1
2024,C08,Process Measure,1,1
2024,C09,Process Measure,1,1
2024,C10,Intermediate Outcome Measure,3,3
2024,C11,Intermediate Outcome Measure,3,3
2024,C12,Process Measure,1,1
2024,C13,Process Measure,1,1
2024,C14,Process Measure,1,1
2024,C15,Outcome Measure,1,1
2024,C16,Process Measure,1,1
2024,C17,Process Measure,1,1
2024,C18,Process Measure,1,1
2024,C19,Patients' Experience and Complaints Measure,4,4
2024,C20,Patients' Experience and Complaints Measure,4,4
2024,C21,Patients' Experience and Complaints Measure,4,4
2024,C22,Patients' Experience and Complaints Measure,4,4
2024,C23,Patients' Experience and Complaints Measure,4,4
2024,C24,Patients' Experience and Complaints Measure,4,4
2024,C25,Patients' Experience and Complaints Measure,4,4
2024,C26,Patients' Experience and Complaints Measure,4,4
2024,C27,Improvement Measure,5,5
2024,C28,Measures Capturing Access,4,4
2024,C29,Measures Capturing Access,4,4
2024,C30,Measures Capturing Access,4,4
2024,D01,Measures Capturing Access,4,4
2024,D02,Patients' Experience and Complaints Measure,4,4
2024,D03,Patients' Experience and Complaints Measure,4,4
2024,D04,Improvement Measure,5,5
2024,D05,Patients' Experience and Complaints Measure,4,4
2024,D06,Patients' Experience and Complaints Measure,4,4
2024,D07,Process Measure,1,1
2024,D08,Intermediate Outcome Measure,3,3
2024,D09,Intermediate Outcome Measure,3,3
2024,D10,Intermediate Outcome Measure,3,3
2024,D11,Process Measure,1,1
2024,D12,Process Measure,1,1
2023,C01,Process Measure,1,1
2023,C02,Process Measure,1,1
2023,C03,Process Measure,1,1
2023,C04,Process Measure,1,1
2023,C05,Process Measure,1,1
2023,C06,Process Measure,1,1
2023,C07,Process Measure,1,1
2023,C08,Process Measure,1,1
2023,C09,Process Measure,1,1
2023,C10,Process Measure,1,1
2023,C11,Intermediate Outcome Measure,3,3
2023,C12,Intermediate Outcome Measure,1,1
2023,C13,Process Measure,1,1
2023,C14,Process Measure,1,1
2023,C15,Process Measure,1,1
2023,C16,Process Measure,1,1
2023,C17,Patients' Experience and Complaints Measure,4,4
2023,C18,Patients' Experience and Complaints Measure,4,4
2023,C19,Patients' Experience and Complaints Measure,4,4
2023,C20,Patients' Experience and Complaints Measure,4,4
2023,C21,Patients' Experience and Complaints Measure,4,4
2023,C22,Patients' Experience and Complaints Measure,4,4
2023,C23,Patients' Experience and Complaints Measure,4,4
2023,C24,Patients' Experience and Complaints Measure,4,4
2023,C25,Improvement Measure,5,5
2023,C26,Measures Capturing Access,4,4
2023,C27,Measures Capturing Access,4,4
2023,C28,Measures Capturing Access,4,4
2023,D01,Measures Capturing Access,4,4
2023,D02,Patients' Experience and Complaints Measure,4,4
2023,D03,Patients' Experience and Complaints Measure,4,4
2023,D04,Improvement Measure,5,5
2023,D05,Patients' Experience and Complaints Measure,4,4
2023,D06,Patients' Experience and Complaints Measure,4,4
2023,D07,Process Measure,1,1
2023,D08,Intermediate Outcome Measure,3,3
2023,D09,Intermediate Outcome Measure,3,3
2023,D10,Intermediate Outcome Measure,3,3
2023,D11,Process Measure,1,1
2023,D12,Process Measure,1,1
2022,C01,Process Measure,1,1
2022,C02,Process Measure,1,1
2022,C03,Process Measure,1,1
2022,C04,Process Measure,1,1
2022,C05,Process Measure,1,1
2022,C06,Process Measure,1,1
2022,C07,Process Measure,1,1
2022,C08,Process Measure,1,1
2022,C09,Process Measure,1,1
2022,C10,Process Measure,1,1
2022,C11,Intermediate Outcome Measure,3,3
2022,C12,Process Measure,1,1
2022,C13,Process Measure,1,1
2022,C14,Process Measure,1,1
2022,C15,Process Measure,1,1
2022,C16,Process Measure,1,1
2022,C17,Patients' Experience and Complaints Measure,2,2
2022,C18,Patients' Experience and Complaints Measure,2,2
2022,C19,Patients' Experience and Complaints Measure,2,2
2022,C20,Patients' Experience and Complaints Measure,2,2
2022,C21,Patients' Experience and Complaints Measure,2,2
2022,C22,Patients' Experience and Complaints Measure,2,2
2022,C23,Patients' Experience and Complaints Measure,2,2
2022,C24,Patients' Experience and Complaints Measure,2,2
2022,C25,Improvement Measure,5,5
2022,C26,Measures Capturing Access,2,2
2022,C27,Measures Capturing Access,2,2
2022,C28,Measures Capturing Access,2,2
2022,D01,Measures Capturing Access,2,2
2022,D02,Patients' Experience and Complaints Measure,2,2
2022,D03,Patients' Experience and Complaints Measure,2,2
2022,D04,Improvement Measure,5,5
2022,D05,Patients' Experience and Complaints Measure,2,2
2022,D06,Patients' Experience and Complaints Measure,2,2
2022,D07,Process Measure,1,1
2022,D08,Intermediate Outcome Measure,3,3
2022,D09,Intermediate Outcome Measure,3,3
2022,D10,Intermediate Outcome Measure,3,3
2022,D11,Process Measure,1,1
2022,D12,Intermediate Outcome Measure,3,3
2021,C01,Process Measure,1,1
2021,C02,Process Measure,1,1
2021,C03,Process Measure,1,1
2021,C04,Outcome Measure,3,3
2021,C05,Outcome Measure,3,3
2021,C06,Process Measure,1,1
2021,C07,Process Measure,1,1
2021,C08,Process Measure,1,1
2021,C09,Process Measure,1,1
2021,C10,Process Measure,1,1
2021,C11,Process Measure,1,1
2021,C12,Process Measure,1,1
2021,C13,Process Measure,1,1
2021,C14,Process Measure,1,1
2021,C15,Intermediate Outcome Measure,3,3
2021,C16,Process Measure,1,1
2021,C17,Process Measure,1,1
2021,C18,Process Measure,1,1
2021,C19,Process Measure,1,1
2021,C20,Process Measure,1,1
2021,C21,Patients' Experience and Complaints Measure,2,2
2021,C22,Patients' Experience and Complaints Measure,2,2
2021,C23,Patients' Experience and Complaints Measure,2,2
2021,C24,Patients' Experience and Complaints Measure,2,2
2021,C25,Patients' Experience and Complaints Measure,2,2
2021,C26,Patients' Experience and Complaints Measure,2,2
2021,C27,Patients' Experience and Complaints Measure,2,2
