"contract_id","snp_type"
"H0028","CCP with SNP"
"H0034","CCP with SNP"
"H0111","CCP with SNP"
"H0154","CCP with SNP"
"H0169","CCP with SNP"
"H0174","CCP with SNP"
"H0251","CCP with SNP"
"H0270","CCP with SNP"
"H0271","CCP with SNP"
"H0294","CCP with SNP"
"H0321","CCP with SNP"
"H0351","CCP with SNP"
"H0354","CCP with SNP"
"H0423","CCP with SNP"
"H0432","CCP with SNP"
"H0439","CCP with SNP"
"H0473","CCP with SNP"
"H0524","CCP with SNP"
"H0543","CCP with SNP"
"H0544","CCP with SNP"
"H0562","CCP with SNP"
"H0571","CCP with SNP"
"H0609","CCP with SNP"
"H0624","CCP with SNP"
"H0628","CCP with SNP"
"H0630","CCP with SNP"
"H0710","CCP with Only I-SNP"
"H0712","CCP with SNP"
"H0783","CCP with SNP"
"H0838","CCP with SNP"
"H0907","CCP with SNP"
"H0908","CCP with SNP"
"H0913","CCP with SNP"
"H0982","CCP with SNP"
"H1019","CCP with SNP"
"H1032","CCP with SNP"
"H1035","CCP with SNP"
"H1036","CCP with SNP"
"H1045","CCP with SNP"
"H1112","CCP with SNP"
"H1119","CCP with Only I-SNP"
"H1170","CCP with SNP"
"H1230","CCP with SNP"
"H1290","CCP with SNP"
"H1350","CCP with SNP"
"H1353","CCP with SNP"
"H1360","CCP with SNP"
"H1372","CCP with Only I-SNP"
"H1375","CCP with SNP"
"H1416","CCP with SNP"
"H1423","CCP with SNP"
"H1436","CCP with SNP"
"H1468","CCP with SNP"
"H1587","CCP with SNP"
"H1609","CCP with SNP"
"H1610","CCP with SNP"
"H1644","CCP with Only I-SNP"
"H1664","CCP with SNP"
"H1692","CCP with SNP"
"H1732","CCP with SNP"
"H1777","CCP with Only I-SNP"
"H1787","CCP with Only I-SNP"
"H1889","CCP with SNP"
"H1894","CCP with SNP"
"H1947","CCP with SNP"
"H1951","CCP with SNP"
"H1961","CCP with SNP"
"H1994","CCP with SNP"
"H2034","CCP with SNP"
"H2108","CCP with SNP"
"H2120","CCP with SNP"
"H2134","CCP with SNP"
"H2168","CCP with SNP"
"H2174","CCP with SNP"
"H2185","CCP with Only I-SNP"
"H2224","CCP with SNP"
"H2225","CCP with SNP"
"H2226","CCP with SNP"
"H2228","CCP with SNP"
"H2237","CCP with SNP"
"H2241","CCP with SNP"
"H2247","CCP with SNP"
"H2256","CCP with SNP"
"H2288","CCP with SNP"
"H2292","CCP with Only I-SNP"
"H2354","CCP with SNP"
"H2392","CCP with Only I-SNP"
"H2400","CCP with Only I-SNP"
"H2406","CCP with Only I-SNP"
"H2416","CCP with SNP"
"H2417","CCP with SNP"
"H2419","CCP with SNP"
"H2422","CCP with SNP"
"H2425","CCP with SNP"
"H2456","CCP with SNP"
"H2458","CCP with SNP"
"H2491","CCP with SNP"
"H2563","CCP with SNP"
"H2582","CCP with SNP"
"H2593","CCP with SNP"
"H2624","CCP with SNP"
"H2678","CCP with SNP"
"H2722","CCP with SNP"
"H2773","CCP with SNP"
"H2775","CCP with SNP"
"H2793","CCP with SNP"
"H2802","CCP with SNP"
"H2879","CCP with SNP"
"H2915","CCP with SNP"
"H2926","CCP with SNP"
"H2960","CCP with SNP"
"H2962","CCP with SNP"
"H3015","CCP with SNP"
"H3113","CCP with SNP"
"H3132","CCP with SNP"
"H3146","CCP with SNP"
"H3192","CCP with SNP"
"H3204","CCP with SNP"
"H3227","CCP with SNP"
"H3239","CCP with SNP"
"H3240","CCP with SNP"
"H3251","CCP with SNP"
"H3256","CCP with SNP"
"H3259","CCP with SNP"
"H3276","CCP with SNP"
"H3291","CCP with SNP"
"H3293","CCP with SNP"
"H3312","CCP with SNP"
"H3328","CCP with SNP"
"H3330","CCP with SNP"
"H3347","CCP with SNP"
"H3359","CCP with SNP"
"H3362","CCP with SNP"
"H3379","CCP with Only I-SNP"
"H3387","CCP with SNP"
"H3407","CCP with SNP"
"H3447","CCP with SNP"
"H3467","CCP with Only I-SNP"
"H3499","CCP with SNP"
"H3533","CCP with SNP"
"H3561","CCP with SNP"
"H3572","CCP with SNP"
"H3597","CCP with SNP"
"H3655","CCP with SNP"
"H3672","CCP with SNP"
"H3708","CCP with Only I-SNP"
"H3727","CCP with Only I-SNP"
"H3794","CCP with SNP"
"H3800","CCP with Only I-SNP"
"H3811","CCP with SNP"
"H3814","CCP with SNP"
"H3815","CCP with SNP"
"H3822","CCP with SNP"
"H3832","CCP with SNP"
"H3930","CCP with SNP"
"H3949","CCP with SNP"
"H3954","CCP with SNP"
"H3959","CCP with SNP"
"H4003","CCP with SNP"
"H4004","CCP with SNP"
"H4007","CCP with SNP"
"H4091","CCP with Only I-SNP"
"H4093","CCP with Only I-SNP"
