PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
010001,-0.846743843,-0.321757827,0.591482541,0.072099662,-0.320038261,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.149486874,7,8,11,8,9,5,2,1,3) # of groups=5,3
010005,-1.354201141,1.419194563,-0.145973777,0.056105915,0.003964883,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.004996591,6,7,10,8,11,5,2,1,3) # of groups=5,3
010006,-1.645506543,0.0334436,-0.269957076,-0.966378648,0.026679879,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.623446121,7,7,9,8,9,5,2,1,3) # of groups=5,2
010007,-1.66357379,-0.804531136,1.163332514,0.357168883,0.841065891,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.107544869,3,2,6,8,5,4,1,1,2) # of groups=4,3
010008,-2.0376095,-0.440342409,0.032500225,,-1.103317869,0.22,0.22,0.22,0.22,0.12,,0.282051282,0.282051282,0.282051282,0.153846154,-0.859483993,2,1,4,0,5,2,0,0,,
010011,-1.032451546,-1.670114982,0.164187683,-0.319080478,-1.171469855,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.769217434,7,7,9,8,5,5,2,1,3) # of groups=5,2
010012,-0.659019744,0.178082636,0.891077216,-1.128399937,-0.255688977,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.18869984,5,4,8,8,8,5,2,1,3) # of groups=5,3
010016,0.25848073,0.318423043,0.756395098,-0.478285759,-0.35376984,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.145650504,7,7,9,8,6,5,2,1,3) # of groups=5,4
010018,,0.061630578,0.032500225,,-0.355872039,0.22,0.22,0.22,0.22,0.12,,0.392857143,,0.392857143,0.214285714,-0.039278336,0,1,1,0,2,0,0,0,,
010019,-0.362767073,-1.312743483,0.102864053,0.445521396,0.302279139,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.211694027,4,7,9,8,8,5,2,1,3) # of groups=5,3
010021,0.639061236,0.999530961,-0.742069246,0.567702173,-0.511555465,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.260742871,3,2,5,8,5,4,1,1,2) # of groups=4,4
