PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,total_grp,cnt_grp,star
010001,-0.647057623,0.2840811088,0.3120743928,-0.12783622,-1.024043733,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.162207683,7,8,11,8,10,5,2,1,5,3) # of groups=5,3
010005,-1.564103455,0.5603685418,-0.237843892,-0.16683798,-0.302741879,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.346180718,6,7,10,8,11,5,2,1,5,3) # of groups=5,2
010006,-1.694317663,-0.554988141,-0.089526158,-1.241107967,-0.179350227,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.809108811,7,7,9,8,11,5,2,1,5,3) # of groups=5,1
010011,-0.517348842,-0.624302069,0.4287695822,0.1342234691,-2.385054991,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.413511328,7,7,9,8,8,5,2,1,5,3) # of groups=5,2
010012,-0.524043734,0.1940758626,0.7640124901,-0.712774194,-0.335390443,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.10156736,4,4,8,8,9,5,2,1,5,3) # of groups=5,3
010016,0.5359681388,0.3266344393,0.2994155715,-0.716065932,-0.249843354,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0681282853,7,7,9,8,10,5,2,1,5,3) # of groups=5,4
010019,-1.517079462,-0.748037651,-1.619192086,0.4422214332,0.3457341638,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.715771209,4,7,9,8,9,5,2,1,5,3) # of groups=5,1
010023,-1.456991345,0.3566905474,-1.237311241,-0.227062578,-0.516960729,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.626263703,7,7,11,8,10,5,2,1,5,3) # of groups=5,2
010024,-1.02324749,0.5116562352,-1.937988895,-0.581246479,-0.769807324,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.759158737,7,7,11,8,10,5,2,1,5,3) # of groups=5,1
010029,-1.634548295,-0.367208667,-0.655721019,0.5775901691,-0.514047918,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.519261069,7,8,11,8,10,5,2,1,5,3) # of groups=5,2
010033,0.58067014,-0.605683407,-0.520755179,0.5500383977,-0.181856523,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.020883393,7,8,11,8,10,5,2,1,5,3) # of groups=5,3
010035,-0.756983771,-0.672946619,-0.006143378,-0.178616627,0.4764707345,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.298055399,5,7,8,8,11,5,2,1,5,3) # of groups=5,2
010036,-0.632671848,-0.177868184,0.8271947978,-0.46360658,-0.403727966,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.146776755,4,4,7,8,9,5,2,1,5,3) # of groups=5,3
010039,-0.932621165,-0.434990628,-0.440633583,0.0643286857,-1.087311795,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.514139087,7,8,11,8,11,5,2,1,5,3) # of groups=5,2
010040,-0.280340056,-0.302917159,0.3628508411,-0.700296519,-2.344534268,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.483898749,7,7,9,8,9,5,2,1,5,3) # of groups=5,2
010046,0.0100729654,-0.083720973,0.6150316799,-0.952904743,0.4055319034,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.041870807,6,7,8,8,8,5,2,1,5,3) # of groups=5,3
010049,-1.890050392,0.0989504553,-0.146802718,0.1535633773,-0.885587406,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.49882513,4,5,7,8,11,5,2,1,5,3) # of groups=5,2
010055,-2.067765015,-0.479564549,0.2283489686,0.1549698072,-1.530299366,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.659718297,7,8,9,8,10,5,2,1,5,3) # of groups=5,2
010056,0.4185203161,0.2665057572,0.5514249042,0.4585401288,-1.438919931,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2002276517,7,8,9,8,11,5,2,1,5,3) # of groups=5,4
010061,-0.936050572,0.301784081,-2.752925431,-1.310250022,-0.748111594,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-1.123210619,4,3,7,8,9,5,2,1,5,3) # of groups=5,1
010065,-0.763866005,1.0540945823,-1.532898771,0.6943748249,-0.129216025,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.136130904,4,3,9,8,9,5,2,1,5,3) # of groups=5,3
010078,-0.783370471,0.090937295,-0.229981121,-1.076821683,-1.454055387,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.614318562,6,7,10,8,11,5,2,1,5,3) # of groups=5,2
010079,-0.382589153,0.4486029369,0.7563788162,0.895505518,-0.683624092,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.295902695,4,7,7,8,11,5,2,1,5,3) # of groups=5,4
010083,-0.027539956,0.5437745424,0.4416685049,0.9644506079,-0.617657901,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.3487988657,6,6,8,8,10,5,2,1,5,3) # of groups=5,4
010085,-0.855668935,-0.517571306,0.3788843903,-0.089055085,-0.651378041,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.316515771,6,7,8,8,11,5,2,1,5,3) # of groups=5,2
010087,-0.155770342,-0.507600512,0.0676041643,-0.161138701,-1.093258357,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.297710189,4,6,7,8,7,5,2,1,5,3) # of groups=5,2
010089,-1.566343086,-0.930858359,-0.455466601,-0.874444584,0.509326551,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.780845592,4,7,7,8,10,5,2,1,5,3) # of groups=5,1
010090,-1.28581565,0.0239955669,0.7360975374,-0.247808916,-0.371395356,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.214744364,7,8,9,8,9,5,2,1,5,3) # of groups=5,3
010092,-1.092691842,-0.218767136,-0.036888027,-1.464791839,-1.153430417,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.757302196,7,8,11,8,10,5,2,1,5,3) # of groups=5,1
010100,-0.217207893,0.6816026147,-0.647584822,0.4034402974,-0.08330007,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.038459035,7,7,9,8,10,5,2,1,5,3) # of groups=5,4
010103,-0.268845528,0.1278116549,0.2931847578,-0.023828331,-0.247450485,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.001463096,7,7,9,8,9,5,2,1,5,3) # of groups=5,3
010104,-0.609965389,-0.451307295,0.281439167,-0.164025121,-0.774711737,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.300614309,7,8,11,8,10,5,2,1,5,3) # of groups=5,2
010108,1.4276165967,0.2980010217,-2.351332842,1.1268001652,-0.867275194,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.006165664,4,4,5,8,8,5,2,1,5,3) # of groups=5,3
010113,-1.16338172,-0.264821792,-0.114344366,-0.226365454,-0.355494478,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.43182027,7,8,11,8,9,5,2,1,5,3) # of groups=5,2
010114,0.2056149056,-1.308616386,-0.386309063,-0.445751569,-0.317495762,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.463813156,4,6,6,8,10,5,2,1,5,3) # of groups=5,2
010118,-0.571712501,-1.075606915,1.085588571,-1.180100503,-0.546671517,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.448803478,4,3,5,8,9,5,2,1,5,3) # of groups=5,2
010130,-0.948322122,-0.276057046,-0.172180256,0.3105355987,-0.73927988,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.327638827,4,4,5,8,7,5,2,1,5,3) # of groups=5,2
010131,-0.510625448,0.893694527,0.2217786325,-0.453232459,-1.01902959,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.088928195,6,8,8,8,10,5,2,1,5,3) # of groups=5,3
010139,-0.638114921,-1.263870995,0.1990957923,-0.306634359,-0.181461925,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.463870817,7,8,9,8,9,5,2,1,5,3) # of groups=5,2
010144,-0.075560064,-1.156486273,0.2492962478,-0.304845474,-0.637015397,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.359712871,7,8,9,8,9,5,2,1,5,3) # of groups=5,2
010149,-1.000277679,0.5708335018,-0.239717467,0.0711124515,-0.982723271,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.249497615,4,7,6,8,10,5,2,1,5,3) # of groups=5,3
01014F,2.036643433,-1.139185567,-0.962355925,0.1633258003,0.0064461456,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0224276405,5,4,6,8,6,5,2,1,5,3) # of groups=5,3
010164,0.0253863151,-0.729913096,1.2451719959,-0.453232459,-0.343579973,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.02199879,4,6,9,8,12,5,2,1,5,3) # of groups=5,3
020001,-0.023540838,-0.516329311,-1.08031934,-0.288070042,-0.572475747,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.488514186,7,8,11,8,9,5,2,1,5,3) # of groups=5,2
020006,-0.728998497,0.0394517956,-0.501004036,-0.26333113,-0.200103362,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.343866414,6,7,10,8,10,5,2,1,5,3) # of groups=5,2
020008,0.2118253817,-0.224100273,-0.248806377,0.7563883076,0.4544444076,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1635008774,4,3,9,8,9,5,2,1,5,3) # of groups=5,4
020012,-1.656692366,1.484263939,-0.467070927,0.9870037868,-0.668591201,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.003779969,5,5,10,8,11,5,2,1,5,3) # of groups=5,3
020017,-0.046423141,-0.225967086,0.1231811656,0.1535633773,0.0141451992,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0026553735,7,7,9,8,8,5,2,1,5,3) # of groups=5,3
